,cities_tags,purchase_places,stores,countries,countries_tags,countries_fr,code,product_name,generic_name,manufacturing_places,manufacturing_places_tags,main_category_fr,created_datetime,last_modified_datetime
10135,"lessay-manche-france,raillencourt-sainte-olle-nord-france,isle-sur-la-sorgue-vaucluse-france","royan,france",u,france,france,france,3660992000395,salade mélangée prête à l'emploi,salade mélangée prête à l'emploi,"florette france gms - ffg (filiale agrial) - espace d'activités fernand finel - 50430 lessay,manche,basse-normandie,florette france gms - ffg (filiale agrial) - 1595 avenue des deux vallées - zone d'activité a2 actipôle - 59554 raillencourt-sainte-olle,nord,nord-pas-de-calais,florette france gms - ffg (filiale agrial) - route du thor - zi petite marine - 84800 l'isle-sur-la-sorgue,vaucluse,provence-alpes-côte d'azur,france","florette-france-gms-ffg-filiale-agrial-espace-d-activites-fernand-finel-50430-lessay,manche,basse-normandie,florette-france-gms-ffg-filiale-agrial-1595-avenue-des-deux-vallees-zone-d-activite-a2-actipole-59554-raillencourt-sainte-olle,nord,nord-pas-de-calais,florette-france-gms-ffg-filiale-agrial-route-du-thor-zi-petite-marine-84800-l-isle-sur-la-sorgue,vaucluse,provence-alpes-cote-d-azur,france",légumes frais,2014-01-16t19:41:40z,2017-03-05t09:30:54z
10136,saint-malo-ille-et-vilaine-france,"annay-sous-lens,france",super u,france,france,france,3660992001439,bâtonnets saveur crabe,préparation à base de chair de poisson saveur crabe,france,france,produits de la mer,2015-07-25t16:01:32z,2015-07-25t17:43:26z
10137,glomel-cotes-d-armor-france,"lyon,france",u express,france,france,france,3660992001446,raclette en tranches,fromage à pâte pressée non cuite,france,france,fromages de vache,2016-02-03t13:42:10z,2016-02-04t15:21:57z
10138,ponts-de-ce-maine-et-loire-france,ponts-de-ce-maine-et-loire-france,carrefour,france,france,france,3660992001781,petits pains grillés au blé complet,petits pains grillés au blé complet,france,france,aliments-d-origine-vegetale,2013-02-25t19:07:30z,2015-11-12t08:32:03z
10139,cornille-les-caves-maine-et-loire-france,"alès,france",hyper u,france,france,france,3660992003952,double crème,"fromage industriel de france, à pâte molle à croûte fleurie, double crème, au lait pasteurisé de vache","ets louis tessier - selt (filiale savencia fromage & dairy) - 10 route des grands champs - lieu dit la maladrerie - 49140 cornillé-les-caves,maine-et-loire,pays de la loire,france","ets-louis-tessier-selt-filiale-savencia-fromage-dairy-10-route-des-grands-champs-lieu-dit-la-maladrerie-49140-cornille-les-caves,maine-et-loire,pays-de-la-loire,france",fromages de france,2014-04-19t20:16:55z,2017-03-05t09:29:10z
10140,"lamballe-cotes-d-armor-france,lamballe-cotes-d-armor-france","annay-sous-lens,france",super u,france,france,france,3660992004249,mousse de foie qualité supérieure,mousse de foie de qualité supérieure,"cooperl arc atlantique - 7 rue de la jeannaie maroué - zone industrielle - 22400 lamballe,côtes-d'armor,bretagne,france","cooperl-arc-atlantique-7-rue-de-la-jeannaie-maroue-zone-industrielle-22400-lamballe,cotes-d-armor,bretagne,france",produits à tartiner salés,2015-07-25t16:36:31z,2017-03-05t09:29:48z
10141,"vieil-moutier-pas-de-calais-france,rozet-saint-albin-aisne-france","angers,france",super u,france,france,france,3660992004843,yaourts aux fruits (0 % mg) 8 pots,yaourts aux fruits 0 % de matières grasses,"novandie (filiale groupe andros) - 11 rue du centre - 62240 vieil-moutier,pas-de-calais,nord-pas-de-calais,pomly - 92 rue principale - 02210 rozet-saint-albin,aisne,picardie,france","novandie-filiale-groupe-andros-11-rue-du-centre-62240-vieil-moutier,pas-de-calais,nord-pas-de-calais,pomly-92-rue-principale-02210-rozet-saint-albin,aisne,picardie,france",yaourts aux fruits,2013-06-16t21:07:29z,2017-03-05t09:31:09z
10142,quesnoy-nord-france,france,super u,france,france,france,3660992005451,jus de pomme a base de concentré,jus de pomme,france,france,jus de fruits à base de concentré,2012-11-01t12:54:57z,2017-03-05t09:27:42z
10143,hesdin-l-abbe-pas-de-calais-france,france,u,france,france,france,3660992005772,filets de maquereaux vin blanc et aromates,filets de maquereaux au vin blanc et aux 4 aromates,france,france,poissons en conserve,2016-11-12t17:44:26z,2016-11-12t18:38:21z
10144,vinay-isere-france,marseille 5°,super u,france,france,france,3660992006137,saint-marcellin (22% mg) ,"fromage de france, à pâte molle à croûte fleurie, au lait thermisé de vache","valcrest (groupe eurial) - 18 cours de la libération,38470 vinay,isère,rhône-alpes,france","valcrest-groupe-eurial-18-cours-de-la-liberation,38470-vinay,isere,rhone-alpes,france",fromages de france,2014-12-04t11:22:01z,2015-08-31t08:45:12z
